




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (82)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of multicellular organismal process (GO:0051239)	2750	25	10.95	+	2.28	5.34E-05	5.14E-03
positive regulation of metabolic process (GO:0009893)	3858	35	15.37	+	2.28	5.86E-07	1.28E-04
negative regulation of macromolecule metabolic process (GO:0010605)	2764	25	11.01	+	2.27	5.71E-05	5.39E-03
negative regulation of metabolic process (GO:0009892)	2988	26	11.90	+	2.18	1.01E-04	8.27E-03
developmental process (GO:0032502)	5677	48	22.61	+	2.12	5.95E-09	2.39E-06
regulation of cellular metabolic process (GO:0031323)	5647	44	22.49	+	1.96	6.52E-07	1.38E-04
regulation of cell communication (GO:0010646)	3369	26	13.42	+	1.94	7.89E-04	4.20E-02
regulation of signaling (GO:0023051)	3381	26	13.47	+	1.93	8.01E-04	4.23E-02
regulation of response to stimulus (GO:0048583)	4034	31	16.07	+	1.93	1.28E-04	1.03E-02
positive regulation of cellular process (GO:0048522)	5670	42	22.58	+	1.86	9.03E-06	1.24E-03
regulation of macromolecule metabolic process (GO:0060255)	6214	46	24.75	+	1.86	1.41E-06	2.52E-04
regulation of nitrogen compound metabolic process (GO:0051171)	5709	42	22.74	+	1.85	9.48E-06	1.29E-03
regulation of primary metabolic process (GO:0080090)	5872	43	23.39	+	1.84	6.45E-06	9.36E-04
regulation of metabolic process (GO:0019222)	6754	49	26.90	+	1.82	7.17E-07	1.44E-04
multicellular organismal process (GO:0032501)	6581	47	26.21	+	1.79	2.46E-06	4.10E-04
positive regulation of biological process (GO:0048518)	6304	45	25.11	+	1.79	5.90E-06	8.73E-04
negative regulation of biological process (GO:0048519)	5314	35	21.16	+	1.65	9.13E-04	4.69E-02
regulation of biological process (GO:0050789)	11806	68	47.02	+	1.45	1.49E-06	2.63E-04
regulation of cellular process (GO:0050794)	11187	64	44.55	+	1.44	1.08E-05	1.44E-03
biological regulation (GO:0065007)	12544	69	49.96	+	1.38	6.76E-06	9.63E-04
protein metabolic process (GO:0019538)	3920	3	15.61	-	.19	9.39E-05	7.79E-03
macromolecule modification (GO:0043412)	2883	2	11.48	-	.17	6.86E-04	3.72E-02
cellular macromolecule metabolic process (GO:0044260)	2518	0	10.03	-	 < 0.01	5.09E-05	4.95E-03
